trade_date,vintage,open,high,low,close,chg_pct,total_vol_t,total_amt_cny,listed_vol_t,listed_amt_cny,block_vol_t,block_amt_cny,auction_vol_t,auction_amt_cny,source_month
2026-01-13,CEA19-20,74.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-13,CEA21,74.52,74.52,74.52,74.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-13,CEA22,76.39,76.39,76.39,76.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-13,CEA23,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-13,CEA24,73.93,73.93,73.93,73.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-13,CEA25,78.31,78.31,78.31,78.31,0.0,1070000.0,67129000.0,0.0,0.0,1070000.0,67129000.0,0.0,0.0,2026-01
2026-01-14,CEA19-20,74.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-14,CEA21,74.52,74.52,74.52,74.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-14,CEA22,76.39,76.39,76.39,76.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-14,CEA23,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-14,CEA24,73.93,73.93,73.93,73.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-14,CEA25,72.5,72.5,72.5,72.5,7.42,585700.0,36773250.0,13700.0,993250.0,572000.0,35780000.0,0.0,0.0,2026-01
2026-01-15,CEA19-20,74.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-15,CEA21,74.52,74.52,74.52,74.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-15,CEA22,76.39,76.39,76.39,76.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-15,CEA23,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-15,CEA24,73.93,73.93,73.93,73.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-15,CEA25,78.5,78.5,78.5,78.5,8.28,160000.0,11510000.0,60000.0,4710000.0,100000.0,6800000.0,0.0,0.0,2026-01
2026-01-16,CEA19-20,74.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
