cell_id,lat,lon,land_frac,in_province,dist_to_province,offshore_zone,retain,w_uniform,w_province,w_wind,w_solar,cap_source
208,37.0,117.25,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
209,37.0,117.5,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
210,37.0,117.75,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
211,37.0,118.0,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
212,37.0,118.25,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
213,37.0,118.5,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
214,37.0,118.75,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
215,37.0,119.0,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
216,37.0,119.25,1.0,0.9963,0.0,0,1,1.0,0.9963,0.9963,0.9963,fallback:w_province
217,37.0,119.5,1.0,1.0,0.0,1,1,1.0,1.0,1.0,1.0,fallback:w_province
218,37.0,119.75,1.0,1.0,0.0,1,1,1.0,1.0,1.0,1.0,fallback:w_province
219,37.0,120.0,1.0,1.0,0.0,1,1,1.0,1.0,1.0,1.0,fallback:w_province
220,37.0,120.25,1.0,1.0,0.0,1,1,1.0,1.0,1.0,1.0,fallback:w_province
221,37.0,120.5,1.0,1.0,0.0,1,1,1.0,1.0,1.0,1.0,fallback:w_province
222,37.0,120.75,1.0,1.0,0.0,1,1,1.0,1.0,1.0,1.0,fallback:w_province
223,37.0,121.0,1.0,1.0,0.0,1,1,1.0,1.0,1.0,1.0,fallback:w_province
224,37.0,121.25,1.0,1.0,0.0,1,1,1.0,1.0,1.0,1.0,fallback:w_province
225,37.0,121.5,1.0,1.0,0.0,1,1,1.0,1.0,1.0,1.0,fallback:w_province
226,37.0,121.75,1.0,0.9659,0.0,1,1,1.0,0.9659,0.9659,0.9659,fallback:w_province
227,37.0,122.0,0.0,0.7886,0.0,1,1,1.0,0.7886,0.7886,0.7886,fallback:w_province
228,37.0,122.25,1.0,0.9831,0.0,1,1,1.0,0.9831,0.9831,0.9831,fallback:w_province
229,37.0,122.5,0.0,0.5633,0.0,1,1,1.0,0.5633,0.5633,0.5633,fallback:w_province
230,37.0,122.75,0.0,0.0,0.0397,1,1,1.0,0.0,0.0,0.0,fallback:w_province
231,36.75,114.75,1.0,0.0,0.4178,0,0,0.0,0.0,0.0,0.0,fallback:w_province
232,36.75,115.0,1.0,0.0,0.1897,0,0,0.0,0.0,0.0,0.0,fallback:w_province
233,36.75,115.25,1.0,0.0003,0.0,0,0,0.0,0.0,0.0,0.0,fallback:w_province
234,36.75,115.5,1.0,0.4591,0.0,0,1,1.0,0.4591,0.4591,0.4591,fallback:w_province
235,36.75,115.75,1.0,0.9247,0.0,0,1,1.0,0.9247,0.9247,0.9247,fallback:w_province
236,36.75,116.0,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
237,36.75,116.25,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
238,36.75,116.5,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
239,36.75,116.75,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
