latitude,longitude,capacity_mw,capacity_std_mw,hub_height_m,class,first_operating_quarter,water_depth_m,nation
34.510893,120.252122,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2018Q3,-12.0,China
34.510713,120.266315,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2018Q2,-12.0,China
34.510623,120.280958,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2018Q2,-12.0,China
34.510623,120.29605,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2018Q1,-13.0,China
34.510623,120.288504,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2018Q1,-12.0,China
34.483584,120.294073,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q3,-12.0,China
34.510623,120.311141,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q4,-13.0,China
34.483404,120.301889,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q3,-12.0,China
34.483674,120.286348,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q3,-12.0,China
34.510533,120.303596,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2019Q1,-13.0,China
34.483584,120.309524,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q3,-12.0,China
34.483404,120.355967,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q3,-13.0,China
34.483404,120.340516,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q3,-13.0,China
34.483494,120.348242,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q4,-13.0,China
34.510533,120.341415,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2018Q1,-13.0,China
34.510533,120.34896,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2018Q1,-14.0,China
34.510444,120.326323,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q4,-13.0,China
34.483494,120.325065,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q3,-13.0,China
34.510533,120.333779,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q3,-13.0,China
34.510264,120.356506,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2018Q1,-14.0,China
34.510264,120.401871,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2018Q1,-15.0,China
34.483314,120.394595,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q3,-14.0,China
34.510533,120.394236,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2018Q2,-15.0,China
34.510444,120.371598,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2018Q1,-14.0,China
34.510264,120.379234,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2018Q1,-15.0,China
34.483314,120.371418,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q3,-14.0,China
34.483314,120.40232,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q3,-14.0,China
34.483225,120.386869,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q3,-14.0,China
34.510264,120.38669,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2018Q1,-15.0,China
34.483314,120.379144,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q3,-14.0,China
34.483135,120.417143,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q4,-15.0,China
34.510264,120.431067,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2018Q1,-15.0,China
34.510264,120.44526,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2018Q1,-16.0,China
34.510264,120.416873,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2018Q1,-15.0,China
34.510174,120.438163,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2018Q1,-15.0,China
34.510264,120.42397,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q3,-15.0,China
34.510084,120.452267,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q4,-16.0,China
34.510713,120.273412,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2018Q2,-12.0,China
34.483494,120.31734,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q3,-12.0,China
34.510623,120.318687,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2018Q2,-13.0,China
34.483404,120.363693,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q4,-14.0,China
34.510444,120.364052,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2018Q2,-14.0,China
34.483314,120.410046,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q4,-15.0,China
34.510354,120.409327,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2018Q1,-15.0,China
34.510084,120.459363,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2018Q1,-16.0,China
34.524996,120.29039,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2018Q2,-12.0,China
34.524817,120.283383,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2018Q4,-12.0,China
34.522391,120.275658,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2018Q2,-12.0,China
34.453311,120.350038,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q4,-13.0,China
34.453311,120.356686,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q4,-13.0,China
34.453221,120.343481,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q4,-13.0,China
34.453131,120.369981,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q4,-13.0,China
34.468582,120.387139,4.443804981785151,0.19197379625162914,91.59322458771601,owt,Y2017Q4,-14.0,China
