trade_date,listed_vwap,block_vwap,block_discount_pct,block_vol_t
2025-10-21,41.7369,35.5761,-14.761,631108.0
2025-10-22,42.6886,48.514,13.646,1540160.0
2025-10-23,45.0613,44.9129,-0.329,620000.0
2025-10-24,47.9998,48.851,1.773,1729662.0
2025-10-27,48.466,47.6447,-1.695,6328573.0
2025-10-28,45.7094,48.4429,5.98,4894827.0
2025-10-29,44.3329,52.5251,18.479,2604749.0
2025-10-30,44.4295,43.1185,-2.951,2003259.0
2025-10-31,46.6126,40.2962,-13.551,588510.0
2025-11-03,48.5052,49.8995,2.875,1105615.0
2025-11-04,50.0897,34.9868,-30.152,460961.0
2025-11-05,50.4043,48.5974,-3.585,773057.0
2025-11-06,53.2047,51.394,-3.403,555261.0
2025-11-07,57.6423,49.1673,-14.703,2259608.0
2025-11-10,59.4541,59.5258,0.121,1925260.0
2025-11-11,63.272,63.2477,-0.038,3096862.0
2025-11-12,63.9006,54.9741,-13.969,1768814.0
2025-11-13,61.0253,58.8473,-3.569,2101470.0
2025-11-14,60.0516,56.7699,-5.465,1734731.0
2025-11-17,61.3177,56.1028,-8.505,2161179.0
2025-11-18,61.8005,55.9835,-9.413,2378902.0
2025-11-19,67.3485,60.8812,-9.603,908508.0
2025-11-20,68.3467,58.7499,-14.041,2197275.0
2025-11-21,63.7361,60.61,-4.905,200000.0
2025-11-24,58.0067,59.55,2.661,200000.0
2025-11-25,56.4461,59.4175,5.264,943051.0
2025-11-26,55.5347,59.7173,7.532,1638531.0
2025-11-27,56.467,57.0448,1.023,2112574.0
2025-11-28,58.027,60.9597,5.054,1499152.0
